Class Name,Shallow Heap,Retained Heap,
java.lang.String @ 0x780017d30  (Ljava/util/function/BiFunction;Ljava/lang/WeakPairMap$Pair;)Ljava/lang/Object;,24,120,
java.lang.String @ 0x780017dd8  lambda$computeIfAbsent$0,24,64,
java.lang.String @ 0x780018aa8  java.util.Date,24,56,
java.lang.String @ 0x780018df8  java.util.concurrent.ThreadPoolExecutor@67784306,24,88,
java.lang.String @ 0x780018eb8  java.util.concurrent.ScheduledThreadPoolExecutor@43814d18,24,104,
java.lang.String @ 0x780021df0  /Users/sameervhatkar/.m2/repository/jakarta/annotation/jakarta.annotation-api/2.1.1/jakarta.annotation-api-2.1.1.jar,24,160,
java.lang.String @ 0x780022e08  /Users/sameervhatkar/.m2/repository/org/slf4j/jul-to-slf4j/2.0.18/jul-to-slf4j-2.0.18.jar,24,136,
java.lang.String @ 0x7800235d0  Asia/Barnaul,24,56,
java.lang.String @ 0x780023628  Asia/Jakarta,24,56,
java.lang.String @ 0x780023680  Asia/Tashkent,24,56,
java.lang.String @ 0x7800236d8  America/Indiana/Vevay,24,64,
java.lang.String @ 0x780023738  America/Juneau,24,56,
java.lang.String @ 0x780023790  Australia/Victoria,24,64,
java.lang.String @ 0x7800237f0  Pacific/Enderbury,24,64,
java.lang.String @ 0x780023850  America/Yellowknife,24,64,
java.lang.String @ 0x7800238b0  Asia/Oral,24,56,
java.lang.String @ 0x780023908  Antarctica/Casey,24,56,
java.lang.String @ 0x780023960  Europe/Copenhagen,24,64,
java.lang.String @ 0x7800239c0  America/Ciudad_Juarez,24,64,
java.lang.String @ 0x780023a20  Asia/Ho_Chi_Minh,24,56,
java.lang.String @ 0x780023a78  America/Kentucky/Louisville,24,72,
java.lang.String @ 0x780023ae0  America/Yakutat,24,56,
java.lang.String @ 0x780023b38  Asia/Qyzylorda,24,56,
java.lang.String @ 0x780023b90  Canada/Newfoundland,24,64,
java.lang.String @ 0x780023bf0  Atlantic/Faeroe,24,56,
java.lang.String @ 0x780023c48  PST8PDT,24,48,
java.lang.String @ 0x780023c98  Asia/Gaza,24,56,
java.lang.String @ 0x780023cf0  Etc/Universal,24,56,
java.lang.String @ 0x780023d48  America/St_Vincent,24,64,
java.lang.String @ 0x780023da8  Asia/Pyongyang,24,56,
java.lang.String @ 0x780023e00  Pacific/Chuuk,24,56,
java.lang.String @ 0x780023e58  Africa/Gaborone,24,56,
java.lang.String @ 0x780023eb0  America/Moncton,24,56,
java.lang.String @ 0x780023f08  Canada/Pacific,24,56,
java.lang.String @ 0x780023f60  Antarctica/Macquarie,24,64,
java.lang.String @ 0x780023fc0  UTC,24,48,
java.lang.String @ 0x780024010  America/Iqaluit,24,56,
java.lang.String @ 0x780024068  Pacific/Funafuti,24,56,
java.lang.String @ 0x7800240c0  America/Inuvik,24,56,
java.lang.String @ 0x780024118  America/Indianapolis,24,64,
java.lang.String @ 0x780024178  Pacific/Gambier,24,56,
java.lang.String @ 0x7800241d0  America/Antigua,24,56,
java.lang.String @ 0x780024228  Indian/Christmas,24,56,
java.lang.String @ 0x780024280  Europe/Samara,24,56,
java.lang.String @ 0x7800242d8  America/Indiana/Knox,24,64,
java.lang.String @ 0x780024338  Asia/Chongqing,24,56,
java.lang.String @ 0x780024390  Eire,24,48,
java.lang.String @ 0x7800243e0  Europe/Amsterdam,24,56,
java.lang.String @ 0x780024438  America/Costa_Rica,24,64,
java.lang.String @ 0x780024498  America/Dawson,24,56,
java.lang.String @ 0x7800244f0  Atlantic/Bermuda,24,56,
java.lang.String @ 0x780024548  Pacific/Wake,24,56,
java.lang.String @ 0x7800245a0  Pacific/Guam,24,56,
java.lang.String @ 0x7800245f8  EST5EDT,24,48,
java.lang.String @ 0x780024648  America/Boise,24,56,
java.lang.String @ 0x7800246a0  Australia/Currie,24,56,
java.lang.String @ 0x7800246f8  America/Asuncion,24,56,
java.lang.String @ 0x780024750  Asia/Ulan_Bator,24,56,
java.lang.String @ 0x7800247a8  NZ,24,48,
java.lang.String @ 0x7800247f8  America/Santarem,24,56,
java.lang.String @ 0x780024850  Kwajalein,24,56,
java.lang.String @ 0x7800248a8  Africa/Abidjan,24,56,
java.lang.String @ 0x780024900  America/Mendoza,24,56,
java.lang.String @ 0x780024958  America/Dominica,24,56,
java.lang.String @ 0x7800249b0  Europe/Riga,24,56,
java.lang.String @ 0x780024a08  Australia/Broken_Hill,24,64,
java.lang.String @ 0x780024a68  MET,24,48,
java.lang.String @ 0x780024ab8  Australia/Canberra,24,64,
java.lang.String @ 0x780024b18  Asia/Kolkata,24,56,
java.lang.String @ 0x780024b70  SystemV/MST7,24,56,
java.lang.String @ 0x780024bc8  Europe/Tirane,24,56,
java.lang.String @ 0x780024c20  Pacific/Nauru,24,56,
java.lang.String @ 0x780024c78  America/Mazatlan,24,56,
java.lang.String @ 0x780024cd0  Australia/Queensland,24,64,
java.lang.String @ 0x780024d30  Pacific/Pitcairn,24,56,
java.lang.String @ 0x780024d88  ROK,24,48,
java.lang.String @ 0x780024dd8  Africa/Asmara,24,56,
java.lang.String @ 0x780024e30  Atlantic/Azores,24,56,
java.lang.String @ 0x780024e88  Europe/Vienna,24,56,
java.lang.String @ 0x780024ee0  Africa/Maputo,24,56,
java.lang.String @ 0x780024f38  Africa/Libreville,24,64,
java.lang.String @ 0x780024f98  Asia/Vladivostok,24,56,
java.lang.String @ 0x780024ff0  America/Sitka,24,56,
java.lang.String @ 0x780025048  Asia/Aqtobe,24,56,
java.lang.String @ 0x7800250a0  Indian/Mahe,24,56,
java.lang.String @ 0x7800250f8  SystemV/CST6,24,56,
java.lang.String @ 0x780025150  US/Hawaii,24,56,
java.lang.String @ 0x7800251a8  Australia/NSW,24,56,
java.lang.String @ 0x780025200  America/Atikokan,24,56,
java.lang.String @ 0x780025258  Atlantic/Stanley,24,56,
java.lang.String @ 0x7800252b0  Asia/Bishkek,24,56,
java.lang.String @ 0x780025308  America/Jamaica,24,56,
java.lang.String @ 0x780025360  America/Nassau,24,56,
java.lang.String @ 0x7800253b8  America/Monterrey,24,64,
java.lang.String @ 0x780025418  MST7MDT,24,48,
java.lang.String @ 0x780025468  Pacific/Truk,24,56,
java.lang.String @ 0x7800254c0  Europe/Dublin,24,56,
