Class Name,Objects,Shallow Heap,
byte[],1493894,100773152,
java.lang.String,1479078,35497872,
long[],68306,33032144,
int[],150052,32698352,
java.lang.Object[],233542,23257936,
float[],6493,13160240,
java.util.HashMap$Node,390386,12492352,
char[],4518,9086680,
java.util.concurrent.ConcurrentHashMap$Node,251701,8054432,
java.util.HashMap$Node[],46922,5492248,
java.util.ResourceBundle$CacheKey,70125,5049000,
java.util.ResourceBundle$KeyElementReference,140250,4488000,
java.util.ArrayList,141859,3404616,
java.util.LinkedHashMap$Entry,82916,3316640,
java.util.concurrent.ConcurrentHashMap$Node[],5586,3090056,
com.google.common.collect.MapMakerInternalMap$WeakKeyDummyValueEntry,93376,2988032,
java.lang.String[],65400,2847384,
java.util.ResourceBundle$BundleReference,70125,2805000,
org.languagetool.AnalyzedToken,74419,2381408,
org.languagetool.tagging.disambiguation.rules.DisambiguationPatternRule,12845,2363480,
org.languagetool.rules.patterns.PatternToken,68950,2206400,
java.lang.invoke.MemberName,44796,1791840,
java.util.HashMap,37255,1788240,
java.lang.reflect.Method,15286,1345168,
java.lang.invoke.MethodType,31358,1254320,
com.intellij.openapi.vfs.impl.ArchiveHandler$EntryInfo,29816,1192640,
groovyjarjarantlr4.v4.runtime.atn.ATNConfig,49246,1181904,
com.intellij.openapi.vfs.newvfs.persistent.namecache.MRUFileNameCache$CacheEntryNameWithId,46280,1110720,
short[],4699,1106992,
java.util.LinkedHashMap,16797,1075008,
kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type,11943,1050984,
org.languagetool.rules.patterns.PatternRule,6156,1034208,
com.intellij.util.xml.dom.XmlElement,31562,1009984,
jdk.internal.util.WeakReferenceKey,31358,1003456,
it.unimi.dsi.fastutil.objects.Object2IntOpenHashMap,15294,978816,
org.languagetool.rules.patterns.AbstractTokenBasedRule$TokenHint,39919,958056,
jdk.internal.jimage.ImageReader$Resource,28528,912896,
com.google.common.collect.MapMakerInternalMap$WeakKeyDummyValueEntry$LinkedWeakKeyDummyValueEntry,22484,899360,
java.lang.Class[],31082,881632,
int[][],339,865800,
java.util.concurrent.ConcurrentHashMap,13186,843904,
java.lang.Object,52635,842160,
java.lang.Class,88750,816128,
double[],423,784864,
com.intellij.openapi.extensions.ExtensionDescriptor,19504,780160,
kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1,18680,747200,
ai.grazie.nlp.patterns.AhoCorasickPattern$TrieNode,22272,712704,
java.lang.invoke.DirectMethodHandle,17512,700480,
jdk.internal.jimage.ImageLocation,28528,684672,
boolean[],2589,670648,
ai.grazie.rules.common.KnownPhrases$Phrase,26953,646872,
java.lang.ref.WeakReference,19349,619168,
kotlin.coroutines.CombinedContext,25267,606408,
java.lang.CharSequence[],11765,564720,
java.lang.ref.SoftReference,13477,539080,
java.lang.invoke.BoundMethodHandle$Species_LL,13185,527400,
java.util.Hashtable$Entry,15234,487488,
java.lang.invoke.ResolvedMethodName,30423,486768,
java.lang.invoke.DirectMethodHandle$Constructor,10104,484992,
org.languagetool.rules.patterns.AbstractTokenBasedRule$TokenHint[],18259,483688,
java.util.Collections$SingletonMap,11483,459320,
org.languagetool.rules.patterns.PatternToken$RareFields,9516,456768,
kotlin.reflect.jvm.internal.impl.protobuf.FieldSet,18680,448320,
org.languagetool.rules.patterns.Match,7311,409416,
ai.grazie.detector.utils.collections.array.OneOptimizedFloatArray,16585,398040,
org.jetbrains.plugins.textmate.language.syntax.SyntaxNodeDescriptorImpl,16264,390336,
com.intellij.util.lang.ClassLoadingLocks$WeakLockReference,11937,381984,
com.intellij.openapi.extensions.impl.XmlExtensionAdapter,7912,379776,
java.lang.reflect.Field,5047,363384,
com.intellij.util.lang.Loader[][],819,361752,
java.util.regex.Pattern,4052,356576,
com.intellij.util.containers.LinkedCustomHashMap$Entry[],1994,330696,
com.intellij.openapi.extensions.impl.SimpleConstructorInjectionAdapter,6573,315504,
com.intellij.openapi.editor.impl.RangeHighlighterImpl,3509,308792,
kotlinx.serialization.json.JsonLiteral,12651,303624,
com.intellij.openapi.vfs.newvfs.persistent.namecache.MRUFileNameCache$CacheEntryNameWithId[],1,294928,
org.jetbrains.plugins.textmate.language.syntax.TextMateCapture$Name,18392,294272,
com.intellij.openapi.extensions.PluginId,17956,287296,
kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function,2550,285600,
java.lang.invoke.LambdaForm$Name,8885,284320,
java.lang.ref.SoftReference[],3723,282904,
org.codehaus.groovy.ast.ClassNode,1948,280512,
java.awt.geom.AffineTransform,3881,279432,
com.intellij.util.SmartList,11344,272256,
java.lang.invoke.BoundMethodHandle$Species_L,6781,271240,
com.intellij.internal.statistic.eventLog.validator.rules.FUSRule[],11067,268504,
org.jetbrains.plugins.textmate.language.syntax.TextMateCapture[],8388,267232,
java.util.BitSet,10889,261336,
com.intellij.psi.impl.source.tree.java.PsiJavaTokenImpl,6286,251440,
com.intellij.openapi.editor.impl.RangeHighlighterTree$RHNode,3491,251352,
it.unimi.dsi.fastutil.objects.ObjectOpenHashSet,5220,250560,
com.intellij.psi.impl.source.tree.PsiWhiteSpaceImpl,6201,248040,
kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type$Argument,5104,244992,
java.util.Collections$UnmodifiableRandomAccessList,10149,243576,
java.util.concurrent.locks.ReentrantLock$NonfairSync,7252,232064,
com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl,5800,232000,
kotlinx.coroutines.debug.internal.HashedWeakRef,7141,228512,
sun.java2d.SunGraphics2D,1087,226096,
kotlinx.coroutines.ChildHandleNode,6983,223456,
java.nio.ByteBuffer[],57,222112,
com.intellij.openapi.actionSystem.Presentation,4619,221712,
com.intellij.util.keyFMap.OneElementFMap,9224,221376,
java.util.Collections$SingletonList,9117,218808,
java.util.logging.LogManager$LoggerWeakRef,4530,217440,
groovyjarjarantlr4.v4.runtime.atn.SingletonPredictionContext,8948,214752,
org.languagetool.rules.IncorrectExample,8926,214224,
kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal,8609,206616,
kotlinx.coroutines.internal.DispatchedContinuation,4298,206304,
org.jetbrains.plugins.textmate.language.syntax.TextMateCapture[][],6337,202784,
com.intellij.codeInspection.ex.ScopeToolState,5007,200280,
com.intellij.psi.impl.source.tree.java.PsiReferenceParameterListImpl,3530,197680,
java.util.regex.Pattern$Slice,8225,197400,
java.util.ImmutableCollections$List12,8193,196632,
ai.grazie.rules.tree.HintableFeature,8165,195960,
java.awt.AWTEventMulticaster,7973,191352,
com.intellij.openapi.vfs.newvfs.impl.VfsData$DirectoryData,5963,190816,
java.util.HashMap$KeySet,11833,189328,
com.intellij.psi.impl.source.tree.java.PsiIdentifierImpl,4687,187480,
java.util.WeakHashMap$Entry,4685,187400,
com.intellij.psi.impl.java.stubs.impl.PsiMethodStubImpl,3822,183456,
com.intellij.codeInspection.LocalInspectionEP,1628,182336,
java.lang.Package,5496,175872,
org.jetbrains.plugins.textmate.language.syntax.SyntaxNodeReferenceDescriptor,7195,172680,
com.intellij.openapi.actionSystem.ActionStub,2691,172224,
com.intellij.psi.impl.source.PsiJavaCodeReferenceElementImpl,2368,170496,
com.intellij.ui.JBColor,3539,169872,
org.languagetool.rules.patterns.StringMatcher$1,6933,166392,
java.util.concurrent.atomic.AtomicLong,6901,165624,
kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter,2299,165528,
com.intellij.openapi.util.NotNullLazyValue$2,6804,163296,
com.intellij.codeInspection.ex.ToolsImpl,5007,160224,
com.intellij.ide.s.j._w,4004,160160,
com.intellij.util.containers.LinkedCustomHashMap$Entry,3933,157320,
java.lang.ThreadLocal$ThreadLocalMap$Entry,4908,157056,
java.util.concurrent.atomic.AtomicReference,9780,156480,
com.intellij.codeInspection.ex.LocalInspectionToolWrapper,4869,155808,
java.lang.Character,9683,154928,
java.lang.invoke.LambdaForm$Name[],2829,153656,
java.util.Arrays$ArrayList,6289,150936,
org.jdom.ContentList,3758,150320,
com.intellij.psi.impl.cache.TypeInfo$RefTypeInfo,4634,148288,
com.intellij.util.containers.ConcurrentWeakHashMap$WeakKey,3690,147600,
java.util.concurrent.atomic.AtomicBoolean,9160,146560,
org.codehaus.groovy.runtime.metaclass.MetaMethodIndex$Entry,2617,146552,
com.intellij.openapi.actionSystem.Constraints,6012,144288,
java.util.Hashtable$Entry[],979,143856,
com.intellij.platform.workspace.storage.impl.url.VirtualFileUrlManagerImpl$FilePathNode,3589,143560,
java.lang.Integer,8923,142768,
com.intellij.ui.DeferredIconImpl,1779,142320,
com.intellij.ui.components.JBScrollPane$Corner,404,142208,
com.intellij.openapi.vfs.newvfs.impl.VfsData$ChildrenIds,5914,141936,
java.lang.invoke.DirectMethodHandle$Accessor,2941,141168,
java.util.regex.Pattern$SliceU,5836,140064,
java.util.regex.Pattern$BmpCharProperty,5755,138120,
