Class Name,Shallow Heap,Retained Heap,
byte[1048576] @ 0x780000000,1048592,1048592,
byte[1048576] @ 0x780200000,1048592,1048592,
byte[1048576] @ 0x780400000,1048592,1048592,
byte[1048576] @ 0x780600000,1048592,1048592,
byte[1048576] @ 0x780800000,1048592,1048592,
byte[1048576] @ 0x780a00000,1048592,1048592,
byte[1048576] @ 0x780c00000,1048592,1048592,
byte[1048576] @ 0x780e00000,1048592,1048592,
byte[1048576] @ 0x781000000,1048592,1048592,
byte[1048576] @ 0x781200000,1048592,1048592,
byte[1048576] @ 0x781400000,1048592,1048592,
byte[1048576] @ 0x781600000,1048592,1048592,
byte[1048576] @ 0x781800000,1048592,1048592,
byte[1048576] @ 0x781a00000,1048592,1048592,
byte[1048576] @ 0x781c00000,1048592,1048592,
byte[1048576] @ 0x781e00000,1048592,1048592,
byte[1048576] @ 0x782000000,1048592,1048592,
byte[1048576] @ 0x782200000,1048592,1048592,
byte[1048576] @ 0x782400000,1048592,1048592,
byte[1048576] @ 0x782600000,1048592,1048592,
byte[1048576] @ 0x782800000,1048592,1048592,
byte[1048576] @ 0x782a00000,1048592,1048592,
byte[1048576] @ 0x782c00000,1048592,1048592,
byte[1048576] @ 0x782e00000,1048592,1048592,
byte[1048576] @ 0x783000000,1048592,1048592,
byte[1048576] @ 0x783200000,1048592,1048592,
byte[1048576] @ 0x783400000,1048592,1048592,
byte[1048576] @ 0x783600000,1048592,1048592,
byte[1048576] @ 0x783800000,1048592,1048592,
byte[1048576] @ 0x783a00000,1048592,1048592,
byte[1048576] @ 0x783c00000,1048592,1048592,
byte[1048576] @ 0x783e00000,1048592,1048592,
byte[1048576] @ 0x784000000,1048592,1048592,
byte[1048576] @ 0x784200000,1048592,1048592,
byte[1048576] @ 0x784400000,1048592,1048592,
byte[1048576] @ 0x784600000,1048592,1048592,
byte[1048576] @ 0x784800000,1048592,1048592,
byte[1048576] @ 0x784a00000,1048592,1048592,
byte[1048576] @ 0x784c00000,1048592,1048592,
byte[1048576] @ 0x784e00000,1048592,1048592,
byte[1048576] @ 0x785000000,1048592,1048592,
byte[1048576] @ 0x785200000,1048592,1048592,
byte[1048576] @ 0x785400000,1048592,1048592,
byte[1048576] @ 0x785600000,1048592,1048592,
byte[1048576] @ 0x785800000,1048592,1048592,
byte[1048576] @ 0x785a00000,1048592,1048592,
byte[1048576] @ 0x785c00000,1048592,1048592,
byte[1048576] @ 0x785e00000,1048592,1048592,
byte[1048576] @ 0x786000000,1048592,1048592,
byte[1048576] @ 0x786200000,1048592,1048592,
byte[1048576] @ 0x786400000,1048592,1048592,
byte[1048576] @ 0x786600000,1048592,1048592,
byte[1048576] @ 0x786800000,1048592,1048592,
byte[1048576] @ 0x786a00000,1048592,1048592,
byte[1048576] @ 0x786c00000,1048592,1048592,
byte[1048576] @ 0x786e00000,1048592,1048592,
byte[1048576] @ 0x787000000,1048592,1048592,
byte[1048576] @ 0x787200000,1048592,1048592,
byte[1048576] @ 0x787400000,1048592,1048592,
byte[1048576] @ 0x787600000,1048592,1048592,
byte[1048576] @ 0x787800000,1048592,1048592,
byte[1048576] @ 0x787a00000,1048592,1048592,
byte[1048576] @ 0x787c00000,1048592,1048592,
byte[1048576] @ 0x787e00000,1048592,1048592,
byte[1048576] @ 0x788000000,1048592,1048592,
byte[1048576] @ 0x788200000,1048592,1048592,
byte[1048576] @ 0x788400000,1048592,1048592,
byte[1048576] @ 0x788600000,1048592,1048592,
byte[11] @ 0x7888008d0  getElementL,32,32,
byte[12] @ 0x788800be0  invokeStatic,32,32,
byte[57] @ 0x788800c18  (Ljava/lang/Object;Ljava/lang/Object;I)Ljava/lang/Object;,80,80,
byte[68] @ 0x788800c80  (Ljava/lang/Object;ILjava/lang/invoke/MemberName;)Ljava/lang/Object;,88,88,
byte[11] @ 0x7888014d8  setElementL,32,32,
byte[12] @ 0x788801960  invokeStatic,32,32,
byte[58] @ 0x788801998  (Ljava/lang/Object;Ljava/lang/Object;ILjava/lang/Object;)V,80,80,
byte[69] @ 0x788801a00  (Ljava/lang/Object;ILjava/lang/Object;Ljava/lang/invoke/MemberName;)V,88,88,
byte[13] @ 0x788802218  invokeSpecial,32,32,
byte[76] @ 0x788802250  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;ILjava/lang/Object;)V,96,96,
byte[87] @ 0x7888022c8  (Ljava/lang/Object;Ljava/lang/Object;ILjava/lang/Object;Ljava/lang/invoke/MemberName;)V,104,104,
byte[8] @ 0x788802520  delegate,24,24,
byte[33] @ 0x7888025a0  ()Ljava/lang/invoke/MethodHandle;,56,56,
byte[40] @ 0x7888025f0  (Ljava/lang/Object;ILjava/lang/Object;)V,56,56,
byte[7] @ 0x788802718  lengthL,24,24,
byte[22] @ 0x788802a78  (Ljava/lang/Object;I)V,40,40,
byte[7] @ 0x788802ae0  LLLLLLL,24,24,
byte[5] @ 0x788803148  argL0,24,24,
byte[5] @ 0x788803258  argL1,24,24,
byte[5] @ 0x7888032e8  argL2,24,24,
byte[5] @ 0x788803378  argL3,24,24,
byte[5] @ 0x788803408  argL4,24,24,
byte[5] @ 0x788803498  argL5,24,24,
byte[5] @ 0x788803528  argL6,24,24,
byte[12] @ 0x788804098  lambda$new$0,32,32,
byte[45] @ 0x788804240  (Ljava/io/ObjectInputFilter;)Ljava/lang/Void;,64,64,
byte[85] @ 0x788804300  (Ljava/rmi/MarshalledObject$MarshalledObjectInputStream;Ljava/io/ObjectInputFilter;)V,104,104,
byte[17] @ 0x788804550  java.lang.Boolean,40,40,
byte[15] @ 0x788804b58  invokeInterface,32,32,
byte[12] @ 0x788804d50  unboxBoolean,32,32,
byte[13] @ 0x788805140  invokeSpecial,32,32,
byte[58] @ 0x788805178  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;I)I,80,80,
byte[69] @ 0x7888051e0  (Ljava/lang/Object;Ljava/lang/Object;ILjava/lang/invoke/MemberName;)I,88,88,
byte[2] @ 0x7888053b0  LI,24,24,
byte[61] @ 0x788805528  (Ljava/lang/invoke/MethodType;Ljava/lang/invoke/LambdaForm;)V,80,80,
