Class Name,Shallow Heap,Retained Heap,
java.lang.String @ 0x780000000  Medium: Depends on number of class loaders and classes loaded.,24,104,
java.lang.String @ 0x780000068  java.lang.management.ManagementPermission,24,88,
java.lang.String @ 0x7800000c0  monitor,24,48,
java.lang.String @ 0x780000150  fold,24,48,
java.lang.String @ 0x780000180  Show loaders of the same name and class as one.,24,88,
java.lang.String @ 0x7800001d8  BOOLEAN,24,48,
java.lang.String @ 0x780000208  true,24,48,
java.lang.String @ 0x780000260  verbose,24,48,
java.lang.String @ 0x780000290  Print detailed information.,24,72,
java.lang.String @ 0x7800002d8  BOOLEAN,24,48,
java.lang.String @ 0x780000308  false,24,48,
java.lang.String @ 0x780000360  show-classes,24,56,
java.lang.String @ 0x780000398  Print loaded classes.,24,64,
java.lang.String @ 0x7800003d8  BOOLEAN,24,48,
java.lang.String @ 0x780000408  false,24,48,
java.lang.String @ 0x780000470  vmMetaspace,24,56,
java.lang.String @ 0x7800004c8  VM.metaspace,24,56,
java.lang.String @ 0x780000530  VM.metaspace,24,56,
java.lang.String @ 0x780000568  Prints the statistics for the metaspace,24,80,
java.lang.String @ 0x7800005b8  Medium: Depends on number of classes loaded.,24,88,
java.lang.String @ 0x780000610  java.lang.management.ManagementPermission,24,88,
java.lang.String @ 0x780000668  monitor,24,48,
java.lang.String @ 0x780000708  scale,24,48,
"java.lang.String @ 0x780000738  Memory usage in which to scale. Valid values are: 1, KB, MB or GB (fixed scale) or ""dynamic"" for a dynamically chosen scale.",24,168,
java.lang.String @ 0x7800007e0  STRING,24,48,
java.lang.String @ 0x780000810  dynamic,24,48,
java.lang.String @ 0x780000868  chunkfreelist,24,56,
java.lang.String @ 0x7800008a0  Shows details about global chunk free lists (ChunkManager).,24,104,
java.lang.String @ 0x780000908  BOOLEAN,24,48,
java.lang.String @ 0x780000938  false,24,48,
java.lang.String @ 0x780000990  vslist,24,48,
java.lang.String @ 0x7800009c0  Shows details about the underlying virtual space.,24,96,
java.lang.String @ 0x780000a20  BOOLEAN,24,48,
java.lang.String @ 0x780000a50  false,24,48,
java.lang.String @ 0x780000aa8  by-spacetype,24,56,
java.lang.String @ 0x780000ae0  Break down numbers by loader type.,24,80,
java.lang.String @ 0x780000b30  BOOLEAN,24,48,
java.lang.String @ 0x780000b60  false,24,48,
java.lang.String @ 0x780000bb8  by-chunktype,24,56,
java.lang.String @ 0x780000bf0  Break down numbers by chunk type.,24,80,
java.lang.String @ 0x780000c40  BOOLEAN,24,48,
java.lang.String @ 0x780000c70  false,24,48,
java.lang.String @ 0x780000cc8  show-classes,24,56,
"java.lang.String @ 0x780000d00  If show-loaders is set, shows loaded classes for each loader.",24,104,
java.lang.String @ 0x780000d68  BOOLEAN,24,48,
java.lang.String @ 0x780000d98  false,24,48,
java.lang.String @ 0x780000df0  show-loaders,24,56,
java.lang.String @ 0x780000e28  Shows usage by class loader.,24,72,
java.lang.String @ 0x780000e70  BOOLEAN,24,48,
java.lang.String @ 0x780000ea0  false,24,48,
java.lang.String @ 0x780000ef8  basic,24,48,
java.lang.String @ 0x780000f28  Prints a basic summary (does not need a safepoint).,24,96,
java.lang.String @ 0x780000f88  BOOLEAN,24,48,
java.lang.String @ 0x780000fb8  false,24,48,
java.lang.String @ 0x780001020  gcRun,24,48,
java.lang.String @ 0x780001070  GC.run,24,48,
java.lang.String @ 0x7800010d0  GC.run,24,48,
java.lang.String @ 0x780001100  Call java.lang.System.gc().,24,72,
java.lang.String @ 0x780001148  Medium: Depends on Java heap size and content.,24,88,
java.lang.String @ 0x7800011e8  vmSymboltable,24,56,
java.lang.String @ 0x780001240  VM.symboltable,24,56,
java.lang.String @ 0x7800012a8  VM.symboltable,24,56,
java.lang.String @ 0x7800012e0  Dump symbol table.,24,64,
java.lang.String @ 0x780001320  Medium: Depends on Java content.,24,72,
java.lang.String @ 0x780001368  java.lang.management.ManagementPermission,24,88,
java.lang.String @ 0x7800013c0  monitor,24,48,
java.lang.String @ 0x780001448  -verbose,24,48,
java.lang.String @ 0x780001478  Dump the content of each symbol in the table,24,88,
java.lang.String @ 0x7800014d0  BOOLEAN,24,48,
java.lang.String @ 0x780001500  false,24,48,
java.lang.String @ 0x780001568  jfrCheck,24,48,
java.lang.String @ 0x7800015b8  JFR.check,24,56,
java.lang.String @ 0x780001620  JFR.check,24,56,
java.lang.String @ 0x780001658  Checks running JFR recording(s),24,72,
java.lang.String @ 0x7800016a0  Low,24,48,
java.lang.String @ 0x7800016d0  java.lang.management.ManagementPermission,24,88,
java.lang.String @ 0x780001728  monitor,24,48,
java.lang.String @ 0x7800017b0  verbose,24,48,
java.lang.String @ 0x7800017e0  Print event settings for the recording(s),24,88,
java.lang.String @ 0x780001838  BOOLEAN,24,48,
java.lang.String @ 0x780001868  false,24,48,
java.lang.String @ 0x7800018c0  name,24,48,
"java.lang.String @ 0x7800018f0  Recording name, e.g. \""My Recording\"" or omit to see all recordings",24,112,
java.lang.String @ 0x780001960  STRING,24,48,
java.lang.String @ 0x7800019c8  vmEvents,24,48,
java.lang.String @ 0x780001a18  VM.events,24,56,
java.lang.String @ 0x780001a80  VM.events,24,56,
java.lang.String @ 0x780001ab8  Print VM event logs,24,64,
java.lang.String @ 0x780001af8  Low: Depends on event log size. ,24,72,
java.lang.String @ 0x780001b40  java.lang.management.ManagementPermission,24,88,
java.lang.String @ 0x780001b98  monitor,24,48,
java.lang.String @ 0x780001c20  max,24,48,
"java.lang.String @ 0x780001c50  Maximum number of events to be printed (newest first). If omitted, all events are printed.",24,136,
java.lang.String @ 0x780001cd8  STRING,24,48,
java.lang.String @ 0x780001d30  log,24,48,
"java.lang.String @ 0x780001d60  Name of log to be printed. If omitted, all logs are printed.",24,104,
java.lang.String @ 0x780001dc8  STRING,24,48,
java.lang.String @ 0x780001e48  javax.management.Notification,24,72,
java.lang.String @ 0x780001e90  Diagnostic Framework Notification,24,80,
java.lang.String @ 0x780001ef8  jmx.mbean.info.changed,24,64,
java.lang.String @ 0x780001f58  type=HotSpotDiagnostic,24,64,
java.lang.String @ 0x780002058  mxbean,24,48,
java.lang.String @ 0x780002088  interfaceClassName,24,64,
java.lang.String @ 0x7800020c8  immutableInfo,24,56,
java.lang.String @ 0x780002120  true,24,48,
java.lang.String @ 0x780002150  com.sun.management.HotSpotDiagnosticMXBean,24,88,
java.lang.String @ 0x7800021a8  true,24,48,
java.lang.String @ 0x7800021d8  com.sun.management.internal.HotSpotDiagnostic,24,88,
java.lang.String @ 0x780002288  ObjectName,24,56,
java.lang.String @ 0x780002348  DiagnosticOptions,24,64,
java.lang.String @ 0x7800023d0  java.util.List<com.sun.management.VMOption>,24,88,
java.lang.String @ 0x780002458  [Ljavax.management.openmbean.CompositeData;,24,88,
java.lang.String @ 0x7800024b0  1-dimension array of javax.management.openmbean.CompositeData,24,104,
java.lang.String @ 0x780002518  [Ljavax.management.openmbean.CompositeData;,24,88,
java.lang.String @ 0x7800025f0  javax.management.openmbean.CompositeData,24,80,
java.lang.String @ 0x780002640  com.sun.management.VMOption,24,72,
java.lang.String @ 0x780002728  origin,24,48,
java.lang.String @ 0x780002780  name,24,48,
java.lang.String @ 0x7800027d8  value,24,48,
java.lang.String @ 0x780002830  writeable,24,56,
java.lang.String @ 0x7800029b8  dumpThreads,24,56,
java.lang.String @ 0x780002ac0  p1,24,48,
java.lang.String @ 0x780002b38  com.sun.management.HotSpotDiagnosticMXBean$ThreadDumpFormat,24,104,
java.lang.String @ 0x780002bd8  p0,24,48,
java.lang.String @ 0x780002c78  setVMOption,24,56,
java.lang.String @ 0x780002d48  p1,24,48,
java.lang.String @ 0x780002df8  p0,24,48,
java.lang.String @ 0x780002e98  dumpHeap,24,48,
java.lang.String @ 0x780002f48  p1,24,48,
java.lang.String @ 0x780002ff8  p0,24,48,
java.lang.String @ 0x7800030a8  getVMOption,24,56,
java.lang.String @ 0x780003178  p0,24,48,
java.lang.String @ 0x780003228  Public constructor of the MBean,24,72,
java.lang.String @ 0x780003318  com.sun.management.HotSpotDiagnosticMXBean,24,88,
java.lang.String @ 0x780003648  getDiagnosticOptions,24,64,
java.lang.String @ 0x780003688  ()Ljava/util/List<Lcom/sun/management/VMOption;>;,24,96,
java.lang.String @ 0x780003940  from,24,48,
java.lang.String @ 0x780004060  getValue,24,48,
java.lang.String @ 0x780004198  getOrigin,24,56,
java.lang.String @ 0x7800042c0  isWriteable,24,56,
java.lang.String @ 0x7800046c8  java.util.List,24,56,
java.lang.String @ 0x780004780  com.sun.management.VMOption,24,72,
java.lang.String @ 0x780005180  type=Runtime,24,56,
java.lang.String @ 0x780005278  mxbean,24,48,
java.lang.String @ 0x7800052a8  interfaceClassName,24,64,
java.lang.String @ 0x7800052e8  immutableInfo,24,56,
java.lang.String @ 0x780005340  true,24,48,
java.lang.String @ 0x780005370  java.lang.management.RuntimeMXBean,24,80,
java.lang.String @ 0x7800053c0  true,24,48,
java.lang.String @ 0x7800053f0  sun.management.RuntimeImpl,24,72,
java.lang.String @ 0x7800054d0  ObjectName,24,56,
"java.lang.String @ 0x780005550  MMMM d, y G",24,56,
"java.lang.String @ 0x780005588  EEEE, MMMM d, y G",24,64,
java.lang.String @ 0x7800055c8  QQQQ y,24,48,
java.lang.String @ 0x7800055f8  MMMM y,24,48,
java.lang.String @ 0x780005628  M/y,24,48,
java.lang.String @ 0x780005658  M/d/y,24,48,
java.lang.String @ 0x780005688  M/d/y G,24,48,
java.lang.String @ 0x7800056b8  h\u202fa,24,48,
"java.lang.String @ 0x7800056e8  E, MMM d",24,48,
"java.lang.String @ 0x780005718  E, M/d",24,48,
java.lang.String @ 0x780005748  d E,24,48,
java.lang.String @ 0x780005778  M/d,24,48,
java.lang.String @ 0x7800057a8  MMM y,24,48,
